,Name_and_model,Country,Engine,Engine_placement,Transmission,Weight_ratio,Bhp,Torque,Rarity
577,1982 Porsche 911 Turbo 3.3,Germany,3.8L Twin-Turbocharged F6,Rear-Engined,7-speed Transmission, 39%/61%,560 bhp (418 kW), 553 lb⋅ft (750 N·m),Rare
578,2014 Porsche 911 Turbo S,Germany,2.0L Naturally-Aspirated F6,Mid-Engined,5-speed Transmission, 46%/54%,125 bhp (93 kW), 131 lb⋅ft (178 N·m),Rare
579,1970 Porsche 914/6,Germany,4.6L Naturally-Aspirated Hybrid V82x Electric Motors,Mid-Engined,7-speed Transmission, 43%/57%,887 bhp (661 kW), 829 lb⋅ft (1125 N·m),Legendary
580,2014 Porsche 918 Spyder,Germany,2.5L Turbocharged I4,Front-Engined,5-speed Transmission, 51%/49%,247 bhp (184 kW), 258 lb⋅ft (350 N·m),Rare
581,1989 Porsche 944 Turbo,Germany,3.0L Turbocharged I4,Front-Engined,5-speed Transmission, 51%/49%,305 bhp (227 kW), 369 lb⋅ft (500 N·m),Rare
582,1993 Porsche 968 Turbo S,Germany,2.8L Twin-Turbocharged F6,Rear-Engined,6-speed Transmission, 43%/57%,450 bhp (336 kW), 369 lb⋅ft (500 N·m),Legendary
583,1987 Porsche 959,Germany,5.7L Naturally-Aspirated V10,Mid-Engined,6-speed Transmission, 42%/58%,605 bhp (451 kW), 435 lb⋅ft (590 N·m),Epic
584,2003 Porsche Carrera GT,Germany,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 52%/48%,550 bhp (410 kW), 568 lb⋅ft (770 N·m),Epic
585,2018 Porsche Cayenne Turbo (2018),Germany,3.8L Naturally-Aspirated F6,Mid-Engined,6-speed Transmission, 44%/56%,385 bhp (287 kW), 310 lb⋅ft (420 N·m),Rare
586,2016 Porsche Cayman GT4,Germany,3.4L Naturally-Aspirated F6,Mid-Engined,7-speed Transmission, 46%/54%,340 bhp (254 kW), 280 lb⋅ft (380 N·m),Rare
587,2015 Porsche Cayman GTS,Germany,5.0L Naturally-Aspirated V8 (Ford Coyote),Front-Engined,6-speed Transmission, 53%/47%,360 bhp (268 kW), 442 lb⋅ft (599 N·m),Epic
588,2018 Porsche Macan LPR Rally Raid,Germany,2.9L Twin-Turbocharged V6,Front-Engined,7-speed Transmission, 57%/43%,434 bhp (324 kW), 405 lb⋅ft (549 N·m),Rare
589,2019 Porsche Macan Turbo (2019),Germany,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 55%/45%,550 bhp (410 kW), 568 lb⋅ft (770 N·m),Rare
590,2017 Porsche Panamera Turbo (2017),Germany,2x electric motors (AC synchronous),Rear-Engined,2-speed Transmission, 49%/51%,752 bhp (561 kW), 774 lb⋅ft (1049 N·m),Common
591,2020 Porsche Taycan Turbo S,Germany,2x electric motors (AC synchronous),Rear-Engined,2-speed Transmission, 49%/51%,752 bhp (561 kW), 774 lb⋅ft (1049 N·m),Common
592,2020 Porsche Taycan Turbo S,United Kingdom,3.5L Twin-Turbocharged V6,Mid-Engined,7-speed Transmission, 41%/59%,454 bhp (339 kW), 500 lb⋅ft (678 N·m),Epic
593,2015 Radical RXC Turbo,United States of America,6x electric motors,Mid-Engined,1-speed Transmission, 46%/54%,1251 bhp (933 kW), 3653 lb⋅ft (4953 N·m),Epic
594,2019 RAESR Tachyon Speed,United States of America,6.4L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 59%/41%,410 bhp (306 kW), 429 lb⋅ft (582 N·m),Common
595,2017 RAM 2500 Power Wagon,United Kingdom,0.7L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 44%/56%,32 bhp (24 kW), 38 lb⋅ft (52 N·m),Common
596,1972 Reliant Supervan III,France,0.75L Naturally-Aspirated I4 (680),Front-Engined,4-speed Transmission, 58%/42%,27 bhp (20 kW), 41 lb⋅ft (56 N·m),Legendary
597,1968 Renault 4L Export,France,1.4L Turbocharged I4,Mid-Engined,5-speed Transmission, 40%/60%,157 bhp (117 kW), 163 lb⋅ft (221 N·m),Rare
598,1980 Renault 5 Turbo,France,1.3L Naturally-Aspirated I4 (C-Type 812),Rear-Engined,5-speed Transmission, 40%/60%,103 bhp (77 kW), 86 lb⋅ft (117 N·m),Common
599,1967 Renault 8 Gordini,France,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 63%/37%,198 bhp (148 kW), 159 lb⋅ft (216 N·m),Common
600,2010 Renault Clio R.S.,France,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 65%/35%,270 bhp (201 kW), 265 lb⋅ft (359 N·m),Rare
601,2016 Renault Clio R.S. 16 Concept,France,1.6L Turbocharged I4,Front-Engined,6-speed Transmission, 65%/35%,197 bhp (147 kW), 177 lb⋅ft (240 N·m),Common
602,2013 Renault Clio R.S. 200 EDC,France,2.0L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 64%/36%,142 bhp (106 kW), 129 lb⋅ft (175 N·m),Common
603,1993 Renault Clio Williams,France,1.8L Turbocharged I4,Front-Engined,7-speed Transmission, 61%/39%,275 bhp (205 kW), 287 lb⋅ft (389 N·m),Rare
604,2018 Renault Megane R.S.,France,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 65%/35%,250 bhp (186 kW), 251 lb⋅ft (340 N·m),Common
605,2010 Renault Megane R.S. 250,France,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 66%/34%,227 bhp (169 kW), 228 lb⋅ft (309 N·m),Rare
606,2008 Renault M%C3%A9gane R26.R,Croatia,4 liquid-cooled permanent magnet synchronous electric motors,Mid-Engined,2-speed Transmission, 48%/52%,1887 bhp (1407 kW), 1695 lb⋅ft (2298 N·m),Legendary
607,2019 Rimac Concept Two,United States of America,7.2L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 48%/52%,850 bhp (634 kW), 640 lb⋅ft (868 N·m),Epic
608,2016 RJ Anderson 37 Polaris RZR-Rockstar Energy Pro 2 Truck,United States of America,2.5L Turbocharged I4,Mid-Engined,6-speed Transmission, 42%/58%,456 bhp (340 kW), 600 lb⋅ft (813 N·m),Epic
609,2018 Saleen S1,United States of America,7.0L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 40%/60%,575 bhp (429 kW), 570 lb⋅ft (773 N·m),Epic
610,2004 Saleen S7,United Kingdom,3.3L Twin-Turbocharged F6,Mid-Engined,5-speed Transmission, 45%/55%,600 bhp (447 kW), 479 lb⋅ft (649 N·m),Common
611,1993 Schuppan 962CR,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 52%/48%,425 bhp (317 kW), 500 lb⋅ft (678 N·m),Legendary
612,1965 Shelby Cobra 427 S/C,United States of America,4.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 53%/47%,390 bhp (291 kW), 341 lb⋅ft (462 N·m),Legendary
613,1965 Shelby Cobra Daytona Coup%C3%A9,United States of America,1.3L Turbocharged I4,Mid-Engined,6-speed Transmission, 43%/57%,600 bhp (447 kW), 287 lb⋅ft (389 N·m),Epic
614,2020 Sierra Cars 23 Yokohama Alpha,United States of America,1.3L Naturally-Aspirated I4 (Hayabusa),Mid-Engined,6-speed Transmission, 45%/55%,194 bhp (145 kW), 114 lb⋅ft (155 N·m),Rare
615,2021 Sierra Cars RX3,Japan,1.6L Naturally-Aspirated F4,Front-Engined,4-speed Transmission, 63%/37%,69 bhp (51 kW), 84 lb⋅ft (114 N·m),Common
616,1980 Subaru BRAT GL,Japan,2.0L Naturally-Aspirated F4,Front-Engined,6-speed Transmission, 55%/45%,200 bhp (149 kW), 151 lb⋅ft (205 N·m),Common
617,2013 Subaru BRZ,Japan,2.2L Turbocharged F4,Front-Engined,5-speed Transmission, 58%/42%,276 bhp (206 kW), 265 lb⋅ft (360 N·m),Legendary
618,1998 Subaru Impreza 22B STi,Japan,2.0L Turbocharged F4,Front-Engined,6-speed Transmission, 58%/42%,278 bhp (207 kW), 290 lb⋅ft (394 N·m),Common
619,2004 Subaru Impreza WRX STi (2004),Japan,2.0L Turbocharged F4,Front-Engined,6-speed Transmission, 58%/42%,311 bhp (232 kW), 311 lb⋅ft (422 N·m),Common
620,2005 Subaru Impreza WRX STi (2005),Japan,2.5L Turbocharged F4,Front-Engined,6-speed Transmission, 58%/42%,305 bhp (227 kW), 335 lb⋅ft (455 N·m),Rare
621,2008 Subaru Impreza WRX STI (2008),Japan,2.0L Turbocharged F4,Front-Engined,5-speed Transmission, 57%/43%,217 bhp (162 kW), 199 lb⋅ft (270 N·m),Common
622,1990 Subaru Legacy RS,Japan,2.5L Turbocharged F4,Front-Engined,6-speed Transmission, 59%/41%,341 bhp (254 kW), 330 lb⋅ft (447 N·m),Common
623,2019 Subaru STI S209,Japan,2.5L Turbocharged F4,Front-Engined,6-speed Transmission, 58%/42%,305 bhp (227 kW), 290 lb⋅ft (393 N·m),Rare
624,2011 Subaru WRX STI (2011),Japan,2.5L Turbocharged F4,Front-Engined,6-speed Transmission, 59%/41%,305 bhp (227 kW), 290 lb⋅ft (394 N·m),Common
625,2015 Subaru WRX STI (2015),Japan,2.0L Turbocharged F4,Front-Engined,6-speed Transmission, 51%/49%,600 bhp (447 kW), 479 lb⋅ft (649 N·m),Common
626,2018 Subaru WRX STI ARX Supercar,Japan,3.4L Naturally-Aspirated V6,Mid-Engined,5-speed Transmission, 40%/60%,360 bhp (268 kW), 265 lb⋅ft (359 N·m),Legendary
627,1993 Toyota 1 T100 Baja Truck,Japan,2.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 51%/49%,150 bhp (112 kW), 130 lb⋅ft (176 N·m),Epic
628,1969 Toyota 2000GT,Japan,2.0L Naturally-Aspirated F4,Front-Engined,6-speed Transmission, 55%/45%,197 bhp (147 kW), 151 lb⋅ft (205 N·m),Rare
629,2013 Toyota GT86,Japan,2.0L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 58%/42%,97 bhp (72 kW), 106 lb⋅ft (144 N·m),Rare
630,1974 Toyota Celica GT,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 60%/40%,232 bhp (173 kW), 224 lb⋅ft (304 N·m),Rare
631,1992 Toyota Celica GT-Four RC ST185,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 60%/40%,255 bhp (190 kW), 224 lb⋅ft (304 N·m),Epic
632,1994 Toyota Celica GT-Four ST205,Japan,1.8L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 64%/36%,187 bhp (139 kW), 133 lb⋅ft (180 N·m),Rare
633,2003 Toyota Celica SS-I,Japan,4.2L Naturally-Aspirated I6,Front-Engined,4-speed Transmission, 54%/46%,135 bhp (101 kW), 210 lb⋅ft (285 N·m),Common
634,1979 Toyota FJ40,Japan,3.0L Turbocharged I6 (BMW B58),Front-Engined,8-speed Transmission, 51%/49%,335 bhp (250 kW), 365 lb⋅ft (495 N·m),Rare
635,2020 Toyota GR Supra,Japan,3.0L Turbocharged I4,Front-Engined,5-speed Transmission, 50%/50%,169 bhp (126 kW), 265 lb⋅ft (359 N·m),Rare
636,2007 Toyota Hilux Arctic Trucks AT38,Japan,3.0L Turbocharged i4,Front-Engined,6-speed Transmission, 50%/50%,161 bhp (120 kW), 253 lb⋅ft (343 N·m),Rare
637,2016 Toyota Land Cruiser Arctic Trucks AT37,Japan,2.0L Turbocharged I4,Mid-Engined,5-speed Transmission, 42%/58%,241 bhp (180 kW), 228 lb⋅ft (309 N·m),Rare
638,1995 Toyota MR2 GT,Japan,1.6L Supercharged I4,Mid-Engined,5-speed Transmission, 43%/57%,145 bhp (108 kW), 140 lb⋅ft (190 N·m),Rare
639,1989 Toyota MR2 SC,Japan,1.6L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 53%/47%,128 bhp (95 kW), 110 lb⋅ft (149 N·m),Epic
640,1985 Toyota Sprinter Trueno GT Apex,Japan,2.0L Twin-Turbocharged I6,Front-Engined,5-speed Transmission, 53%/47%,206 bhp (154 kW), 203 lb⋅ft (275 N·m),Rare
641,1992 Toyota Supra 2.0 GT,Japan,3.0L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 53%/47%,320 bhp (239 kW), 315 lb⋅ft (427 N·m),Rare
642,1998 Toyota Supra RZ,Japan,3.0L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 53%/47%,320 bhp (239 kW), 315 lb⋅ft (427 N·m),Rare
643,1998 Toyota Supra RZ,United Kingdom,7.7L Naturally-Aspirated V12,Front-Engined,6-speed Transmission, 53%/47%,800 bhp (597 kW), 649 lb⋅ft (880 N·m),Epic
644,1998 TVR Cerbera Speed 12,United Kingdom,5.0L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 50%/50%,480 bhp (358 kW), 430 lb⋅ft (583 N·m),Rare
645,2018 TVR Griffith,United Kingdom,4.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 53%/47%,406 bhp (303 kW), 349 lb⋅ft (473 N·m),Rare
646,2005 TVR Sagaris,United Kingdom,6.8L Supercharged V8,Mid-Engined,6-speed Transmission, 38%/62%,1020 bhp (761 kW), 920 lb⋅ft (1248 N·m),Epic
647,2015 Ultima Evolution Coupe 1020,United Kingdom,1.6L Turbocharged I4,Front-Engined,6-speed Transmission, 63%/37%,202 bhp (151 kW), 206 lb⋅ft (279 N·m),Common
648,2016 Vauxhall Corsa VXR (2016),United Kingdom,3.6L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 55%/45%,379 bhp (283 kW), 419 lb⋅ft (568 N·m),Rare
649,1990 Vauxhall Lotus Carlton,United Kingdom,6.0L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 53%/47%,398 bhp (297 kW), 391 lb⋅ft (530 N·m),Common
650,2005 Vauxhall Monaro VXR,Germany,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 55%/45%,553 bhp (412 kW), 464 lb⋅ft (629 N·m),Epic
651,2017 Volkswagen 34 Volkswagen Andretti Rallycross Beetle,Germany,1.6L Naturally-Aspirated F4,Rear-Engined,4-speed Transmission, 42%/58%,93 bhp (69 kW), 102 lb⋅ft (138 N·m),Rare
652,1970 Volkswagen 1107 Desert Dingo Racing Stock Bug,Germany,1.2L Naturally-Aspirated F4,Rear-Engined,4-speed Transmission, 42%/58%,40 bhp (30 kW), 65 lb⋅ft (88 N·m),Legendary
653,1963 Volkswagen Beetle,Germany,1.2L Naturally-Aspirated F4,Rear-Engined,4-speed Transmission, 42%/58%,40 bhp (30 kW), 65 lb⋅ft (88 N·m),Legendary
654,1963 Volkswagen Beetle,Germany,1.6L Naturally-Aspirated I4,Rear-Engined,4-speed Transmission, 42%/58%,80 bhp (60 kW), 106 lb⋅ft (144 N·m),Rare
655,1969 Volkswagen Class 5/1600 Baja Bug,Germany,2.8L Naturally-Aspirated V6,Front-Engined,5-speed Transmission, 58%/42%,178 bhp (133 kW), 177 lb⋅ft (240 N·m),Common
656,1995 Volkswagen Corrado VR6,Germany,1.8L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 63%/37%,112 bhp (84 kW), 109 lb⋅ft (148 N·m),Common
657,1983 Volkswagen Golf GTI,Germany,1.8L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 63%/37%,139 bhp (104 kW), 120 lb⋅ft (163 N·m),Common
658,1992 Volkswagen Golf Gti 16v Mk2,Germany,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 54%/46%,267 bhp (199 kW), 254 lb⋅ft (345 N·m),Rare
659,2010 Volkswagen Golf R (2010),Germany,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 61%/39%,296 bhp (221 kW), 283 lb⋅ft (384 N·m),Common
660,2014 Volkswagen Golf R (2014),Germany,3.2L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 62%/38%,241 bhp (180 kW), 236 lb⋅ft (320 N·m),Rare
661,2003 Volkswagen Golf R32,Germany,2.8L Naturally-Aspirated V6,Front-Engined,5-speed Transmission, 65%/35%,172 bhp (128 kW), 173 lb⋅ft (235 N·m),Common
662,1998 Volkswagen GTI VR6 Mk3,Germany,1.6L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 65%/35%,52 bhp (39 kW), 72 lb⋅ft (98 N·m),Epic
663,1982 Volkswagen Pickup LX,Germany,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 65%/35%,261 bhp (195 kW), 258 lb⋅ft (350 N·m),Rare
664,2011 Volkswagen Scirocco R,Germany,1.7L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 63%/37%,74 bhp (55 kW), 89 lb⋅ft (121 N·m),Common
665,1981 Volkswagen Scirocco S,Germany,1.5L Naturally-Aspirated F4,Rear-Engined,4-speed Transmission, 48%/52%,50 bhp (37 kW), 82 lb⋅ft (111 N·m),Rare
666,1963 Volkswagen Type 2 De Luxe,Sweden,2.1L Turbocharged I4,Front-Engined,5-speed Transmission, 54%/46%,225 bhp (168 kW), 250 lb⋅ft (339 N·m),Common
667,1983 Volvo 242 Turbo Evolution,Sweden,2.3L Turbocharged I5,Front-Engined,5-speed Transmission, 60%/40%,240 bhp (179 kW), 221 lb⋅ft (300 N·m),Common
668,1997 Volvo 850 R,Sweden,3.0L Turbocharged I6,Front-Engined,6-speed Transmission, 60%/40%,346 bhp (258 kW), 368 lb⋅ft (499 N·m),Common
669,2015 Volvo V60 Polestar,Mexico,2.3L Turbocharged I4,Mid-Engined,6-speed Transmission, 37%/63%,385 bhp (287 kW), 368 lb⋅ft (500 N·m),Epic
670,2017 VUHL 05RR,United States of America,2.2L Naturally-Aspirated I4,Front-Engined,3-speed Transmission, 50%/50%,60 bhp (45 kW), 106 lb⋅ft (144 N·m),Common
671,1945 Willys MB Jeep,Denmark,6.8L Twin-Charged V8,Mid-Engined,7-speed Transmission, 44%/56%,1086 bhp (810 kW), 1054 lb⋅ft (1429 N·m),Legendary
672,2016 Zenvo ST1,Denmark,5.8L Supercharged V8,Mid-Engined,7-speed Transmission, 44%/56%,1177 bhp (878 kW), 811 lb⋅ft (1100 N·m),Legendary
